epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.99975,1.07767,1.7672,1.40002,1,0.84248,0.98896,0.6761,0.96128,2.04209,1.22117,0.0005,0.0005,0.0005
2,4.91608,0.93437,1.14862,1.26907,0.74838,0.84065,0.8926,0.66519,0.81835,1.58018,1.24726,0.00101327,0.00101327,0.00101327
3,6.79938,0.94105,1.00722,1.28832,0.8894,0.87415,0.9319,0.67809,0.8704,1.39719,1.26061,0.00151967,0.00151967,0.00151967
4,8.67367,0.98099,0.94722,1.29252,0.77742,0.91304,0.90323,0.64286,0.97252,1.58297,1.43198,0.0019604,0.0019604,0.0019604
5,10.5445,0.99074,0.94441,1.29449,0.85213,0.95652,0.95365,0.65566,1.00337,1.63326,1.37772,0.0019472,0.0019472,0.0019472
6,12.4064,1.00548,0.89984,1.31051,0.85033,1,0.96726,0.74777,0.84192,1.42939,1.21285,0.001934,0.001934,0.001934
7,14.2718,0.90125,0.81596,1.24044,0.91926,0.99012,0.98923,0.83641,0.68508,0.66781,1.04264,0.0019208,0.0019208,0.0019208
8,16.1403,0.91625,0.74133,1.22521,0.93361,0.95652,0.95719,0.73647,0.85539,1.10658,1.18513,0.0019076,0.0019076,0.0019076
9,18.0008,0.89864,0.74644,1.22765,0.77569,0.90224,0.93352,0.59046,1.17986,1.36818,1.5057,0.0018944,0.0018944,0.0018944
10,19.8681,0.89108,0.68614,1.21798,0.95492,0.92119,0.98268,0.72932,0.88151,0.70352,1.16567,0.0018812,0.0018812,0.0018812
11,21.7245,0.90331,0.69677,1.23904,0.91294,0.93478,0.95188,0.68982,0.97486,0.73717,1.24997,0.001868,0.001868,0.001868
12,23.5967,0.91928,0.70611,1.24843,0.97711,0.928,0.98975,0.82929,0.64742,0.55589,1.00533,0.0018548,0.0018548,0.0018548
13,25.4569,0.90014,0.66528,1.22582,0.98684,0.95652,0.99255,0.79252,0.71954,0.5364,1.0346,0.0018416,0.0018416,0.0018416
14,27.3202,0.901,0.67668,1.23529,0.95327,0.97826,0.99122,0.70175,0.95228,0.66688,1.22966,0.0018284,0.0018284,0.0018284
15,29.1727,0.87974,0.65072,1.22163,0.96837,1,0.99287,0.79074,0.79688,0.51224,1.09065,0.0018152,0.0018152,0.0018152
16,31.0426,0.82381,0.61144,1.17282,0.97627,1,0.99415,0.75649,0.87563,0.49672,1.12588,0.001802,0.001802,0.001802
17,32.8949,0.85345,0.59484,1.20219,1,0.97048,0.97621,0.78588,0.76185,0.43989,1.04151,0.0017888,0.0017888,0.0017888
18,34.7596,0.81939,0.60441,1.18846,0.97428,1,0.99415,0.75455,0.84365,0.65436,1.08277,0.0017756,0.0017756,0.0017756
19,36.6185,0.81478,0.5871,1.17443,0.96376,0.97826,0.9889,0.83582,0.63153,0.89812,1.02433,0.0017624,0.0017624,0.0017624
20,38.4981,0.81512,0.56832,1.17074,0.99253,1,0.995,0.80805,0.66294,0.46007,0.98896,0.0017492,0.0017492,0.0017492
21,40.3468,0.83373,0.60033,1.19466,0.98982,1,0.995,0.73948,0.97025,0.4734,1.18993,0.001736,0.001736,0.001736
22,42.2202,0.82039,0.56657,1.17632,0.99844,1,0.995,0.79377,0.81357,0.46124,1.06115,0.0017228,0.0017228,0.0017228
23,44.0761,0.82814,0.56417,1.18053,0.97776,0.9558,0.98515,0.76267,0.80459,0.45181,1.04871,0.0017096,0.0017096,0.0017096
24,45.9412,0.80595,0.57088,1.16635,0.99906,0.97826,0.99304,0.7012,1.00119,0.54444,1.22256,0.0016964,0.0016964,0.0016964
25,47.8058,0.79777,0.56091,1.17011,0.93308,1,0.99081,0.7296,0.907,0.62576,1.11727,0.0016832,0.0016832,0.0016832
26,49.673,0.82023,0.55737,1.17628,0.9787,0.99877,0.99457,0.7768,0.78282,0.48507,1.06531,0.00167,0.00167,0.00167
27,51.5398,0.78755,0.54303,1.15801,0.97725,1,0.9933,0.82998,0.66675,0.41066,0.9666,0.0016568,0.0016568,0.0016568
28,53.4096,0.78902,0.54783,1.1588,0.99702,1,0.995,0.81432,0.72616,0.41456,1.02649,0.0016436,0.0016436,0.0016436
29,55.2575,0.80001,0.54675,1.17192,0.99839,1,0.995,0.7695,0.82709,0.45169,1.08045,0.0016304,0.0016304,0.0016304
30,57.1154,0.79557,0.53099,1.16184,0.91933,1,0.9912,0.82739,0.72341,0.4417,1.00135,0.0016172,0.0016172,0.0016172
31,58.9795,0.80148,0.53211,1.16649,1,0.97177,0.99417,0.77922,0.83089,0.44988,1.04899,0.001604,0.001604,0.001604
32,60.8435,0.77003,0.51712,1.14351,0.99615,0.97826,0.99417,0.77752,0.9032,0.46318,1.08729,0.0015908,0.0015908,0.0015908
33,62.7344,0.79604,0.52959,1.15649,0.97565,1,0.99415,0.80346,0.77394,0.393,1.00642,0.0015776,0.0015776,0.0015776
34,64.6317,0.76669,0.52,1.14532,1,0.99284,0.995,0.82464,0.67976,0.411,0.98177,0.0015644,0.0015644,0.0015644
35,66.5551,0.79081,0.52583,1.16624,0.97867,0.99733,0.99457,0.84042,0.6768,0.37316,0.95765,0.0015512,0.0015512,0.0015512
36,68.474,0.76958,0.5191,1.14754,0.99572,1,0.995,0.76928,0.83365,0.40908,1.09185,0.001538,0.001538,0.001538
37,70.3762,0.7721,0.52039,1.1534,0.97459,1,0.99457,0.78548,0.84691,0.42279,1.10333,0.0015248,0.0015248,0.0015248
38,72.2722,0.76613,0.49359,1.14592,0.97274,1,0.99372,0.77641,0.84143,0.43973,1.07107,0.0015116,0.0015116,0.0015116
39,74.1855,0.76471,0.51164,1.15039,0.97426,1,0.99415,0.86215,0.57405,0.36707,0.92791,0.0014984,0.0014984,0.0014984
40,76.1387,0.75713,0.49116,1.14454,0.97785,1,0.995,0.78609,0.8208,0.41868,1.09225,0.0014852,0.0014852,0.0014852
41,78.0453,0.76436,0.50607,1.13964,0.99733,1,0.995,0.83166,0.63976,0.38724,0.96817,0.001472,0.001472,0.001472
42,79.9827,0.74825,0.50694,1.13266,0.99949,1,0.995,0.78951,0.8062,0.38536,1.04826,0.0014588,0.0014588,0.0014588
43,81.9266,0.73765,0.49577,1.13308,0.99862,0.95652,0.9926,0.77407,0.82117,0.43956,1.07738,0.0014456,0.0014456,0.0014456
44,83.8296,0.7332,0.48336,1.1162,0.97591,1,0.99457,0.82981,0.68418,0.38012,0.97965,0.0014324,0.0014324,0.0014324
45,85.7283,0.72254,0.48398,1.12645,0.99155,1,0.995,0.76767,0.84289,0.42032,1.07949,0.0014192,0.0014192,0.0014192
46,87.7038,0.73706,0.49359,1.13429,0.9963,1,0.995,0.83234,0.68816,0.36817,0.97493,0.001406,0.001406,0.001406
47,89.6333,0.73466,0.47636,1.12073,0.99547,1,0.995,0.82438,0.67226,0.36234,0.96594,0.0013928,0.0013928,0.0013928
48,91.5584,0.74195,0.48114,1.13436,0.97754,1,0.995,0.84231,0.6384,0.34985,0.9817,0.0013796,0.0013796,0.0013796
49,93.4695,0.72271,0.46672,1.11564,0.99804,1,0.995,0.84674,0.63101,0.32641,0.97698,0.0013664,0.0013664,0.0013664
50,95.388,0.71593,0.45964,1.11477,0.99859,0.97826,0.99086,0.7925,0.79819,0.43114,1.09708,0.0013532,0.0013532,0.0013532
51,97.2865,0.74741,0.4558,1.14181,1,0.99219,0.995,0.85183,0.65094,0.3309,0.95955,0.00134,0.00134,0.00134
52,99.1948,0.70478,0.4532,1.10814,0.99618,0.97826,0.98079,0.81353,0.7304,0.35699,1.02355,0.0013268,0.0013268,0.0013268
53,101.096,0.70881,0.4552,1.10983,0.99736,1,0.995,0.8358,0.68658,0.3536,1.00873,0.0013136,0.0013136,0.0013136
54,103.008,0.71044,0.46991,1.11057,1,0.97706,0.99304,0.86161,0.57416,0.34315,0.90778,0.0013004,0.0013004,0.0013004
55,104.897,0.72388,0.46431,1.12413,0.96979,1,0.99287,0.83623,0.71314,0.37281,0.97269,0.0012872,0.0012872,0.0012872
56,106.798,0.72714,0.47218,1.11805,0.99842,1,0.995,0.77336,0.89641,0.38436,1.1048,0.001274,0.001274,0.001274
57,108.689,0.6982,0.45538,1.10918,0.99859,1,0.995,0.77949,0.83438,0.36644,1.05882,0.0012608,0.0012608,0.0012608
